"","Date","Month","Start.time","End.time","Locality","Site","Bar","Station","Counter","TransLngth","Cnt_Live","Cnt_Dead","Replicate","Treatment"
"1",2010-05-27,"May","17:50","18:26","CK","I","1","CKI1","JANESSY",2.5,65,"NA","1","control"
"2",2010-05-27,"May","17:50","18:26","CK","I","1","CKI1","JANESSY",5,195,"NA","1","control"
"3",2010-05-27,"May","17:50","18:26","CK","I","1","CKI1","JANESSY",7.5,104,"NA","1","control"
"4",2010-05-27,"May","17:50","18:26","CK","I","1","CKI1","JANESSY",10,119,"NA","1","control"
"5",2010-05-27,"May","17:50","18:26","CK","I","1","CKI1","JANESSY",12.5,134,"NA","1","control"
"6",2010-05-27,"May","17:50","18:26","CK","I","1","CKI1","JANESSY",15,162,"NA","1","control"
"7",2010-05-27,"May","17:50","18:26","CK","I","1","CKI1","JANESSY",17.5,63,"NA","1","control"
"8",2010-05-27,"May","17:50","18:26","CK","I","1","CKI1","JANESSY",20,116,"NA","1","control"
"9",2010-05-27,"May","17:50","18:26","CK","I","1","CKI1","JANESSY",22.5,156,"NA","1","control"
"10",2010-05-27,"May","17:50","18:26","CK","I","1","CKI1","JANESSY",24.9,117,"NA","1","control"
"11",2010-05-27,"May","18:37","19:07","CK","I","2","CKI2","JANESSY",2.5,3,"NA","1","control"
"12",2010-05-27,"May","18:37","19:07","CK","I","2","CKI2","JANESSY",5,7,"NA","1","control"
"13",2010-05-27,"May","18:37","19:07","CK","I","2","CKI2","JANESSY",7.5,39,"NA","1","control"
"14",2010-05-27,"May","18:37","19:07","CK","I","2","CKI2","JANESSY",10,97,"NA","1","control"
"15",2010-05-27,"May","18:37","19:07","CK","I","2","CKI2","JANESSY",12.5,145,"NA","1","control"
"16",2010-05-27,"May","18:37","19:07","CK","I","2","CKI2","JANESSY",15,87,"NA","1","control"
"17",2010-05-27,"May","18:37","19:07","CK","I","2","CKI2","JANESSY",17.5,11,"NA","1","control"
"18",2010-05-27,"May","18:37","19:07","CK","I","2","CKI2","JANESSY",20,31,"NA","1","control"
"19",2010-05-27,"May","18:37","19:07","CK","I","2","CKI2","JANESSY",22.5,72,"NA","1","control"
"20",2010-05-27,"May","18:37","19:07","CK","I","2","CKI2","JANESSY",25,5,"NA","1","control"
"21",2010-05-27,"May","18:37","19:07","CK","I","2","CKI2","JANESSY",27.5,42,"NA","1","control"
"22",2010-05-27,"May","18:37","19:07","CK","I","2","CKI2","JANESSY",29.2,1,"NA","1","control"
"23",2010-05-27,"May","19:14","19:44","CK","I","3","CKI3","JANESSY",2.5,86,"NA","1","control"
"24",2010-05-27,"May","19:14","19:44","CK","I","3","CKI3","JANESSY",5,157,"NA","1","control"
"25",2010-05-27,"May","19:14","19:44","CK","I","3","CKI3","JANESSY",7.5,9,"NA","1","control"
"26",2010-05-27,"May","19:14","19:44","CK","I","3","CKI3","JANESSY",10,16,"NA","1","control"
"27",2010-05-27,"May","19:14","19:44","CK","I","3","CKI3","JANESSY",12.5,117,"NA","1","control"
"28",2010-05-27,"May","19:14","19:44","CK","I","3","CKI3","JANESSY",15,169,"NA","1","control"
"29",2010-05-27,"May","19:14","19:44","CK","I","3","CKI3","JANESSY",17.5,119,"NA","1","control"
"30",2010-05-27,"May","19:14","19:44","CK","I","3","CKI3","JANESSY",20,64,"NA","1","control"
"31",2010-05-27,"May","19:14","19:44","CK","I","3","CKI3","JANESSY",21.9,74,"NA","1","control"
"32",2010-07-09,"July","17:47","17:58","CK","I","1","CKI1","JANESSY",2.5,6,"NA","1","control"
"33",2010-07-09,"July","17:47","17:58","CK","I","1","CKI1","JANESSY",5,2,"NA","1","control"
"34",2010-07-09,"July","17:47","17:58","CK","I","1","CKI1","JANESSY",7.5,58,"NA","1","control"
"35",2010-07-09,"July","17:47","17:58","CK","I","1","CKI1","JANESSY",10,104,"NA","1","control"
"36",2010-07-09,"July","17:47","17:58","CK","I","1","CKI1","JANESSY",12.5,173,"NA","1","control"
"37",2010-07-09,"July","17:47","17:58","CK","I","1","CKI1","JANESSY",15,105,"NA","1","control"
"38",2010-07-09,"July","17:47","17:58","CK","I","1","CKI1","JANESSY",17.5,50,"NA","1","control"
"39",2010-07-09,"July","17:47","17:58","CK","I","1","CKI1","JANESSY",20,48,"NA","1","control"
"40",2010-07-09,"July","17:47","17:58","CK","I","1","CKI1","JANESSY",22.5,135,"NA","1","control"
"41",2010-07-09,"July","17:47","17:58","CK","I","1","CKI1","JANESSY",25,26,"NA","1","control"
"42",2010-07-09,"July","17:47","17:58","CK","I","1","CKI1","JANESSY",27.5,29,"NA","1","control"
"43",2010-07-09,"July","17:47","17:58","CK","I","1","CKI1","JANESSY",29.2,1,"NA","1","control"
"44",2010-07-09,"July","17:14","17:32","CK","I","2","CKI2","JANESSY",2.5,57,"NA","1","control"
"45",2010-07-09,"July","17:14","17:32","CK","I","2","CKI2","JANESSY",5,202,"NA","1","control"
"46",2010-07-09,"July","17:14","17:32","CK","I","2","CKI2","JANESSY",7.5,98,"NA","1","control"
"47",2010-07-09,"July","17:14","17:32","CK","I","2","CKI2","JANESSY",10,111,"NA","1","control"
"48",2010-07-09,"July","17:14","17:32","CK","I","2","CKI2","JANESSY",12.5,142,"NA","1","control"
"49",2010-07-09,"July","17:14","17:32","CK","I","2","CKI2","JANESSY",15,153,"NA","1","control"
"50",2010-07-09,"July","17:14","17:32","CK","I","2","CKI2","JANESSY",17.5,65,"NA","1","control"
"51",2010-07-09,"July","17:14","17:32","CK","I","2","CKI2","JANESSY",20,107,"NA","1","control"
"52",2010-07-09,"July","17:14","17:32","CK","I","2","CKI2","JANESSY",22.5,180,"NA","1","control"
"53",2010-07-09,"July","17:14","17:32","CK","I","2","CKI2","JANESSY",25,63,"NA","1","control"
